leg_id,system,mode,cutoff_ps,t_start_ps,t_end_ps,production_origin_ps,production_elapsed_ns,nrep,dG_kcal,dG_err_kcal,replica_ns_elapsed,replica_ns_nominal,source_csv,source_log
0de5750c4d98c61b,1CHO,partner2,1000,550.0,1000.0,100,0.9,32,-71.78480345864756,0.2377665155243968,28.8,32.0,source_data/budget/legs/0de5750c4d98c61b/bar_time_series.csv,source_data/budget/legs/0de5750c4d98c61b/bar1.log
0de5750c4d98c61b,1CHO,partner2,2000,1050.0,2000.0,100,1.9,32,-72.29776324269235,0.1803560590976819,60.8,64.0,source_data/budget/legs/0de5750c4d98c61b/bar_time_series.csv,source_data/budget/legs/0de5750c4d98c61b/bar1.log
0de5750c4d98c61b,1CHO,partner2,4000,2050.0,4000.0,100,3.9,32,-71.60931728741645,0.1430907030805812,124.8,128.0,source_data/budget/legs/0de5750c4d98c61b/bar_time_series.csv,source_data/budget/legs/0de5750c4d98c61b/bar1.log
cf4e6da216ede7f8,1CHO,complex,1000,550.0,1000.0,100,0.9,32,19.175890728717533,0.3247785646592759,28.8,32.0,source_data/budget/legs/cf4e6da216ede7f8/bar_time_series.csv,source_data/budget/legs/cf4e6da216ede7f8/bar1.log
cf4e6da216ede7f8,1CHO,complex,2000,1050.0,2000.0,100,1.9,32,19.12980158521656,0.1748644730171396,60.8,64.0,source_data/budget/legs/cf4e6da216ede7f8/bar_time_series.csv,source_data/budget/legs/cf4e6da216ede7f8/bar1.log
cf4e6da216ede7f8,1CHO,complex,4000,2050.0,4000.0,100,3.9,32,19.184899364014967,0.1344555491000153,124.8,128.0,source_data/budget/legs/cf4e6da216ede7f8/bar_time_series.csv,source_data/budget/legs/cf4e6da216ede7f8/bar1.log
6fa9171d1e194f97,1CHO,partner2,1000,550.0,1000.0,100,0.9,32,17.997231615713904,0.1378648606548969,28.8,32.0,source_data/budget/legs/6fa9171d1e194f97/bar_time_series.csv,source_data/budget/legs/6fa9171d1e194f97/bar1.log
6fa9171d1e194f97,1CHO,partner2,2000,1050.0,2000.0,100,1.9,32,18.09358008700878,0.1376834146003965,60.8,64.0,source_data/budget/legs/6fa9171d1e194f97/bar_time_series.csv,source_data/budget/legs/6fa9171d1e194f97/bar1.log
6fa9171d1e194f97,1CHO,partner2,4000,2050.0,4000.0,100,3.9,32,18.01824181980613,0.1480382299011536,124.8,128.0,source_data/budget/legs/6fa9171d1e194f97/bar_time_series.csv,source_data/budget/legs/6fa9171d1e194f97/bar1.log
243629a5c4a94a09,1CHO,complex,1000,550.0,1000.0,100,0.9,32,-72.09587471551305,0.184470835063066,28.8,32.0,source_data/budget/legs/243629a5c4a94a09/bar_time_series.csv,source_data/budget/legs/243629a5c4a94a09/bar1.log
243629a5c4a94a09,1CHO,complex,2000,1050.0,2000.0,100,1.9,32,-71.99679628076538,0.1771894551911674,60.8,64.0,source_data/budget/legs/243629a5c4a94a09/bar_time_series.csv,source_data/budget/legs/243629a5c4a94a09/bar1.log
243629a5c4a94a09,1CHO,complex,4000,2050.0,4000.0,100,3.9,32,-72.07203422044572,0.1397414077655803,124.8,128.0,source_data/budget/legs/243629a5c4a94a09/bar_time_series.csv,source_data/budget/legs/243629a5c4a94a09/bar1.log
bf8f1443d1f8a3ee,1CHO,partner2,1000,550.0,1000.0,100,0.9,32,-72.07860842978192,0.2104930156885576,28.8,32.0,source_data/budget/legs/bf8f1443d1f8a3ee/bar_time_series.csv,source_data/budget/legs/bf8f1443d1f8a3ee/bar1.log
bf8f1443d1f8a3ee,1CHO,partner2,2000,1050.0,2000.0,100,1.9,32,-71.9656116880872,0.153097404455044,60.8,64.0,source_data/budget/legs/bf8f1443d1f8a3ee/bar_time_series.csv,source_data/budget/legs/bf8f1443d1f8a3ee/bar1.log
bf8f1443d1f8a3ee,1CHO,partner2,4000,2050.0,4000.0,100,3.9,32,-71.46359147850572,0.1626787423598766,124.8,128.0,source_data/budget/legs/bf8f1443d1f8a3ee/bar_time_series.csv,source_data/budget/legs/bf8f1443d1f8a3ee/bar1.log
9baf57d927d338c7,1CHO,complex,1000,550.0,1000.0,100,0.9,64,-83.19538317419054,0.2116153059949437,57.6,64.0,source_data/budget/legs/9baf57d927d338c7/bar_time_series.csv,source_data/budget/legs/9baf57d927d338c7/bar1.log
9baf57d927d338c7,1CHO,complex,2000,1050.0,2000.0,100,1.9,64,-84.03944323336026,0.1738981504835824,121.6,128.0,source_data/budget/legs/9baf57d927d338c7/bar_time_series.csv,source_data/budget/legs/9baf57d927d338c7/bar1.log
9baf57d927d338c7,1CHO,complex,4000,2050.0,4000.0,100,3.9,64,-84.83238651816222,0.1672418889252807,249.6,256.0,source_data/budget/legs/9baf57d927d338c7/bar_time_series.csv,source_data/budget/legs/9baf57d927d338c7/bar1.log
da5fa647c8a764f9,1CHO,partner2,1000,550.0,1000.0,100,0.9,64,-84.1395590047546,0.1764440259425069,57.6,64.0,source_data/budget/legs/da5fa647c8a764f9/bar_time_series.csv,source_data/budget/legs/da5fa647c8a764f9/bar1.log
da5fa647c8a764f9,1CHO,partner2,2000,1050.0,2000.0,100,1.9,64,-84.1132503642305,0.1435845460974538,121.6,128.0,source_data/budget/legs/da5fa647c8a764f9/bar_time_series.csv,source_data/budget/legs/da5fa647c8a764f9/bar1.log
da5fa647c8a764f9,1CHO,partner2,4000,2050.0,4000.0,100,3.9,64,-84.38989256511691,0.1065133778451706,249.6,256.0,source_data/budget/legs/da5fa647c8a764f9/bar_time_series.csv,source_data/budget/legs/da5fa647c8a764f9/bar1.log
75220a28e44f5978,1CHO,complex,1000,550.0,1000.0,100,0.9,32,17.908473420635957,0.3747581172828866,28.8,32.0,source_data/budget/legs/75220a28e44f5978/bar_time_series.csv,source_data/budget/legs/75220a28e44f5978/bar1.log
